"","project_id","mod_drop_wk","target_type","method","mean","median","var","project"
"1",4886,201634,"inverse turn","simple_reg",0.45049887513806,0.339610442502209,0.0865308447467749,4886
"2",4886,201634,"inverse turn","simple_mean",0.41229474822255,0.366663771606143,0.0792020648375802,4886
"3",4886,201634,"inverse turn","re_sim_reg",0.428528519615033,0.411609329311992,0.0893673240924459,4886
"4",4886,201634,"inverse turn","re_sim_mean",0.418245412858207,0.429533539236861,0.0831091688218506,4886
"5",4886,201634,"inverse turn","re_class_reg",0.491566238807686,0.442520904364545,0.0844377660300025,4886
"6",4886,201634,"inverse turn","re_class_mean",0.421508097237747,0.384836654119343,0.0794923846018238,4886
